모델명,브랜드,형태,건반 액션,건반 재질,음원,동시 발음수,미디 통신,오디오 I/F,페달 사양,스피커
AP-750,Casio,콘솔,Smart Hybrid Hammer,목재+플라스틱,AiR Grand,256,"USB, BT(Audio/MIDI)",❌,3페달 (Continuous),40W (8-spk)
YDP-145,Yamaha,콘솔,GHS,플라스틱,CFX (VRM Lite),192,USB-B,✅,3페달 (기본),8W x 2
FP-90X,Roland,포터블,PHA-50 (Hybrid),목재+플라스틱,Pure Acoustic Modeling,무제한,"USB, 5-pin, BT",✅,하프 (기본포함),60W (25W+5W) x 2
LX-5,Roland,콘솔,PHA-50,목재+플라스틱,Piano Reality Modeling,무제한,"USB, BT(Audio/MIDI)",✅,3페달 (Progressive),90W (4-spk)
CN201,Kawai,콘솔,RH3 (Let-off),플라스틱,PHI (Progressive),192,"USB, BT(Audio/MIDI)",❌,3페달 (Grand Feel),40W (20W+20W) 2-spk
FP-30X,Roland,포터블,PHA-4 Standard,플라스틱,SuperNATURAL Piano,256,"USB, BT(Audio/MIDI)",✅,스위치 (기본포함),22W (11W+11W) 2-spk
P-225,Yamaha,포터블,GHC,플라스틱,CFX (VRM Lite),192,"USB-B, BT(별매)",✅,하프 (별매),7W x 2
CLP-775,Yamaha,콘솔,GrandTouch (Linear),목재,"CFX, Bösendorfer (VRM)",256,"USB-B, 5-pin, BT",✅,3페달 (기본/GP),(42W+50W+50W) x 2
CLP-725,Yamaha,콘솔,GrandTouch-S,플라스틱,"CFX, Bösendorfer (VRM)",256,USB-B,❌,3페달 (기본),20W x 2
CDP-135,Casio,포터블,Scaled Hammer Action,플라스틱,Dual-element AHL,64,USB,❌,스위치 (기본포함),16W (8W+8W) 2-spk
CDP-S100,Casio,포터블,Scaled Hammer Action II,플라스틱,Stereo Sampling,64,USB,❌,스위치 (기본포함),16W (8W+8W) 2-spk
PX-S5000,Casio,포터블,Smart Hybrid Hammer,목재+플라스틱,Multi-Dimensional AiR,192,"USB, BT(Audio/MIDI)",❌,스위치 (기본포함),16W (8W+8W) 2-spk
P-143,Yamaha,포터블,GHC,플라스틱,CFIIIS,64,USB-B,✅,하프 (별매/3페달불가),7W x 2
PX-770,Casio,슬림,3-sensor Scaled Hammer II,플라스틱,Multi-Dimensional AiR,128,USB,❌,3페달 (Half support),16W (8W+8W) 2-spk
CA901,Kawai,콘솔,Grand Feel III,목재,SK-EX Rendering,256,"USB, BT(Audio/MIDI)",❌,3페달 (Grand Feel),Soundboard + (50W+50W+35W)
CA501,Kawai,콘솔,Grand Feel Compact,목재,Harmonic Imaging XL,256,"USB, BT(Audio/MIDI)",❌,3페달 (Grand Feel),100W (50W+50W) 4-spk
P-125,Yamaha,포터블,GHS,플라스틱,Pure CF,192,"USB-B, BT(별매)",✅,하프 (별매),7W x 2 (2-way)
AP-710,Casio,콘솔,3-sensor Scaled Hammer II,플라스틱,AiR Grand,256,USB,❌,3페달 (Half support),60W (30W+30W) 6-spk
HP702,Roland,콘솔,PHA-4 Standard,플라스틱,SuperNATURAL Modeling,무제한,"USB-B, BT(Audio/MIDI)",❌,3페달 (Progressive),28W (14W+14W) 2-spk
Poetry,Korg,콘솔,RH3,플라스틱,Stereo PCM (Chopin),120,"5-pin, BT(Audio)",❌,3페달 (Half support),50W (25W+25W) 2-spk
KF-20 (New),Roland,콘솔,PHA-50 (Hybrid),목재+플라스틱,Piano Reality Modeling,무제한,"USB-C, BT(Audio/MIDI)",✅,3페달 (Progressive),48W (24W+24W) 4-spk
B2+,Korg,포터블,NH,플라스틱,Stereo PCM,120,USB-C,✅,스위치 (기본포함),30W (15W+15W) 2-spk
E1 Air,Korg,콘솔,RH3,플라스틱,Stereo PCM,120,"USB, BT(Audio)",❌,3페달 (Half support),80W (40W+40W) 2-spk
CLP-785,Yamaha,콘솔,GrandTouch (Linear),목재,"CFX, Bösendorfer (VRM)",256,"USB-B, 5-pin, BT",✅,3페달 (기본/GP),(50W+50W+50W) x 2
KF-10,Roland,콘솔,PHA-50 (Hybrid),목재+플라스틱,SuperNATURAL Modeling,무제한,"USB-B, BT(Audio/MIDI)",❌,3페달 (Progressive),60W (30W+30W) 4-spk
CLP-735,Yamaha,콘솔,GrandTouch-S,플라스틱,"CFX, Bösendorfer (VRM)",256,"USB-B, 5-pin",✅,3페달 (기본),30W x 2
RP30,Roland,콘솔,Ivory Feel (Escapement),플라스틱,Roland Piano Sounds,128,USB-B,❌,3페달 (Switch),20W (10W+10W) 2-spk
CN301,Kawai,콘솔,RH3 (Let-off),플라스틱,PHI (Progressive),256,"USB, BT(Audio/MIDI)",❌,3페달 (Grand Feel),40W (20W+20W) 4-spk
G1 Air,Korg,콘솔,RH3,플라스틱,Stereo PCM,120,"5-pin, BT(Audio)",❌,3페달 (Half support),80W (4-spk)
P-145,Yamaha,포터블,GHC,플라스틱,CFIIIS,64,USB-B,✅,하프 (별매),7W x 2
CDP-S110,Casio,포터블,Scaled Hammer Action II,플라스틱,Stereo Sampling,64,USB,❌,스위치 (기본포함),16W (8W+8W) 2-spk
NU1X,Yamaha,하이브리드,리얼 업라이트 액션,목재 (아크릴),"CFX, Bösendorfer (VRM)",256,"USB, 5-pin DIN",✅,3페달 (GP Response),(45W+45W) x 2
CDP-S150,Casio,포터블,Scaled Hammer Action II,플라스틱,Stereo Sampling,64,USB,❌,3페달 지원 (Half support),16W (8W+8W) 2-spk
CDP-S360,Casio,포터블,Scaled Hammer Action II,플라스틱,Stereo Sampling,128,"USB, BT(별매)",❌,스위치 (기본포함),16W (8W+8W) 2-spk
B1,Korg,포터블,NH,플라스틱,Stereo PCM,120,❌,❌,스위치 (PU-2 호환),18W (9W+9W) 2-spk
ES520,Kawai,포터블,RHC II,플라스틱,PHI (Progressive),192,"USB, 5-pin, BT",❌,하프 (기본포함),40W (20W+20W) 2-spk
P-145BT,Yamaha,포터블,GHC,플라스틱,CFIIIS,64,"USB-B, BT(Audio내장)",✅,하프 (별매),7W x 2
CX202,Kawai,콘솔,RHC II,플라스틱,Harmonic Imaging,192,"USB, BT(Audio/MIDI)",❌,3페달 (Grand Feel),40W (20W+20W) 2-spk
HP704,Roland,콘솔,PHA-50 (Hybrid),목재+플라스틱,SuperNATURAL Modeling,무제한,"USB-B, BT(Audio/MIDI)",❌,3페달 (Progressive),60W (Multi-spk)
FP-10,Roland,포터블,PHA-4 Standard,플라스틱,SuperNATURAL Piano,96,"USB, BT(MIDI only)",❌,스위치 (기본포함),12W (6W+6W) 2-spk
C1 Air,Korg,콘솔,RH3,플라스틱,Stereo PCM,120,"5-pin, BT(Audio)",❌,3페달 (Half support),50W (25W+25W) 2-spk
GP-9,Roland,그랜드,Hybrid Grand (Haptic),목재+플라스틱,Piano Reality Modeling,무제한,"USB, BT(Audio/MIDI)",✅,3페달 (Modeling),150W (Multi-ch)
FP-E50,Roland,포터블,PHA-4 Standard,플라스틱,SuperNATURAL + ZEN-Core,256,"USB, BT(Audio/MIDI)",✅,스위치 (기본포함),22W (11W+11W) 2-spk
N2,Yamaha,하이브리드,리얼 그랜드 액션,목재 (이보라이트),Spatial Acoustic Sampling,256,5-pin DIN,❌,3페달 (리얼 그랜드),22W x10 + 80W x2 + 진동판
B2,Korg,포터블,NH,플라스틱,Stereo PCM,120,USB-B,✅,스위치 (기본포함),30W (15W+15W) 2-spk
RP107,Roland,콘솔,PHA-4 Standard,플라스틱,SuperNATURAL Piano,256,"USB, BT(Audio/MIDI)",❌,3페달 (Continuous),16W (8W+8W) 2-spk
AP-470,Casio,콘솔,3-sensor Scaled Hammer II,플라스틱,Multi-Dimensional AiR,256,USB,❌,3페달 (Continuous),40W (20W+20W) 4-spk
P-125a,Yamaha,포터블,GHS,플라스틱,Pure CF,192,USB-B,❌,하프 (별매),7W x 2 (2-way)
PX-S3100,Casio,포터블,Smart Scaled Hammer,플라스틱,Multi-Dimensional AiR,192,"USB, BT(Audio/MIDI)",❌,스위치 (기본포함),16W (8W+8W) 2-spk
D1,Korg,스테이지,RH3,플라스틱,Stereo PCM,120,5-pin MIDI only,❌,하프 (별매 페달 필요),없음 (0W)
AP-550,Casio,콘솔,Smart Hybrid Hammer,목재+플라스틱,Multi-Dimensional AiR,256,"USB, BT(Audio/MIDI)",❌,3페달 (Continuous),40W (20W+20W) 4-spk
LP-380U,Korg,슬림,RH3,플라스틱,Stereo PCM,120,USB,✅,3페달 (Half support),44W (22W+22W) 2-spk
YDP-S55,Yamaha,슬림,GH3,플라스틱,CFX (VRM Lite),192,USB-B,✅,3페달 (기본),20W x 2
AP-300,Casio,콘솔,Smart Scaled Hammer,플라스틱,Multi-Dimensional AiR,192,"USB, BT(Audio/MIDI)",❌,3페달 (Half support),40W (20W+20W) 2-spk
AP-S200,Casio,슬림,Smart Scaled Hammer,플라스틱,Multi-Dimensional AiR,192,"USB, BT(Audio/MIDI)",❌,3페달 (Half support),40W (20W+20W) 2-spk
N3X,Yamaha,하이브리드,리얼 그랜드 액션,목재 (이보라이트),"Spatial Acoustic (CFX, Bösendorfer)",256,"USB, 5-pin, XLR",✅,3페달 (리얼 그랜드),(80W+45W+35W+25W) x 2세트
P-525,Yamaha,포터블,GrandTouch-S,목재,"CFX, Bösendorfer (VRM)",256,"USB-C, 5-pin, BT",✅,하프 (기본포함),(20W+6W) x 2
F701,Roland,슬림,PHA-4 Standard,플라스틱,SuperNATURAL Piano,256,"USB, BT(Audio/MIDI)",❌,3페달 (Progressive),24W (12W+12W) 2-spk
RP701,Roland,콘솔,PHA-4 Standard,플라스틱,SuperNATURAL Piano,256,"USB, BT(Audio/MIDI)",❌,3페달 (Progressive),24W (12W+12W) 2-spk
CA401,Kawai,콘솔,Grand Feel Compact,목재,PHI (Progressive),192,"USB, BT(Audio/MIDI)",❌,3페달 (Grand Feel),40W (20W+20W) 4-spk
GP-510,Casio,하이브리드,Natural Grand Hammer,목재,AiR Grand,256,"USB, 5-pin",❌,3페달 (Grand Pedal),100W (6-spk)
F107,Roland,슬림,PHA-4 Standard,플라스틱,SuperNATURAL Piano,256,"USB, BT(Audio/MIDI)",❌,3페달 (Continuous),16W (8W+8W) 2-spk
ES120,Kawai,포터블,RHC,플라스틱,Harmonic Imaging,192,"USB, BT(Audio/MIDI)",❌,하프 (별매),20W (10W+10W) 2-spk
DP603,Roland,콘솔,PHA-50 (Hybrid),목재+플라스틱,SuperNATURAL Modeling,무제한,"USB-B, BT(Audio/MIDI)",❌,3페달 (Progressive),60W (30W+30W) 2-spk
KF-25 (New),Roland,콘솔,PHA-50 (Hybrid),목재+플라스틱,Piano Reality Modeling,무제한,"USB-C, BT(Audio/MIDI)",✅,3페달 (Progressive),48W (24W+24W) 4-spk
P-143BT,Yamaha,포터블,GHC,플라스틱,CFIIIS,64,"USB-B, BT(Audio내장)",✅,하프 (별매/3페달불가),7W x 2
ES60,Kawai,포터블,Responsive Hammer Lite,플라스틱,Harmonic Imaging,192,USB,❌,하프 (별매),20W (10W+10W) 2-spk
PX-S7000,Casio,포터블,Smart Hybrid Hammer,목재+플라스틱,Multi-Dimensional AiR,256,"USB, BT(Audio/MIDI)",❌,3페달 (Continuous),32W (8Wx4) 4-spk
CLP-745,Yamaha,콘솔,GrandTouch-S,목재,"CFX, Bösendorfer (VRM)",256,"USB-B, 5-pin, BT",✅,3페달 (기본),(50W+50W) x 2
PX-870,Casio,슬림,3-sensor Scaled Hammer II,플라스틱,Multi-Dimensional AiR,256,USB,❌,3페달 (Continuous),40W (20W+20W) 4-spk
LX-9,Roland,콘솔,Hybrid Grand (햅틱),목재+플라스틱,Piano Reality Modeling,무제한,"USB, BT(Audio/MIDI)",✅,3페달 (Responsive),162W (8-spk)
ES920,Kawai,포터블,RH3 (Let-off),플라스틱,Harmonic Imaging XL,256,"USB, 5-pin, BT",❌,하프 (기본포함),40W (20W+20W) 2-spk
CDP-S160,Casio,포터블,Scaled Hammer Action II,플라스틱,Stereo Sampling,64,USB,❌,3페달 지원 (Half support),16W (8W+8W) 2-spk
P-223,Yamaha,포터블,GHC,플라스틱,CFX (VRM Lite),192,"USB-B, BT(별매)",✅,하프 (별매),7W x 2
GP-3,Roland,미니 그랜드,PHA-4 Standard,플라스틱,Piano Reality Standard,256,"USB, BT(Audio/MIDI)",✅,3페달 (Continuous),22W (11W+11W)
YDP-165,Yamaha,콘솔,GH3,플라스틱,CFX (VRM Lite),192,USB-B,✅,3페달 (기본),20W x 2
YDP-S35,Yamaha,슬림,GHS,플라스틱,CFX (VRM Lite),192,USB-B,✅,3페달 (기본),8W x 2
LP-180,Korg,슬림,NH,플라스틱,Stereo PCM,120,MIDI OUT only,❌,3페달 (Half support),22W (11W+11W) 2-spk
GP-6,Roland,미니 그랜드,PHA-50 (Hybrid),목재+플라스틱,Piano Reality Modeling,무제한,"USB, BT(Audio/MIDI)",✅,3페달 (Modeling),100W (5-spk)
CX102,Kawai,콘솔,Responsive Hammer Lite,플라스틱,Harmonic Imaging,192,"USB, BT(MIDI only)",❌,3페달 (Grand Feel),22W (11W+11W) 2-spk
GP-310,Casio,하이브리드,Natural Grand Hammer,목재,AiR Grand,256,"USB, 5-pin",❌,3페달 (Grand Pedal),100W (6-spk)
CDP-S350,Casio,포터블,Scaled Hammer Action II,플라스틱,Stereo Sampling,64,USB,❌,3페달 지원 (Half support),16W (8W+8W) 2-spk
CA701,Kawai,콘솔,Grand Feel III,목재,SK-EX Rendering,256,"USB, BT(Audio/MIDI)",❌,3페달 (Grand Feel),110W (55W+55W) 6-spk
N1X,Yamaha,하이브리드,리얼 그랜드 액션,목재 (아크릴),"Spatial Acoustic (CFX, Bösendorfer)",256,"USB, 5-pin DIN",✅,3페달 (GP Response),30W x 6
AP-270,Casio,콘솔,3-sensor Scaled Hammer II,플라스틱,Multi-Dimensional AiR,192,USB,❌,3페달 (Half support),16W (8W+8W) 2-spk
FP-60X,Roland,포터블,PHA-4 Standard,플라스틱,SuperNATURAL Piano,256,"USB, BT(Audio/MIDI)",✅,하프 (기본포함),26W (13W+13W) 2-spk
LX-6,Roland,콘솔,Hybrid Grand,목재+플라스틱,Piano Reality Modeling,무제한,"USB, BT(Audio/MIDI)",✅,3페달 (Progressive),116W (5-spk)
GP-9M,Roland,그랜드,Hybrid Grand (Moving Keys),목재+플라스틱,Piano Reality Modeling,무제한,"USB, BT(Audio/MIDI)",✅,3페달 (Modeling),150W (Multi-ch)
PX-S1100,Casio,포터블,Smart Scaled Hammer,플라스틱,Multi-Dimensional AiR,192,"USB, BT(Audio/MIDI)",❌,스위치 (기본포함),16W (8W+8W) 2-spk
AP-S450,Casio,슬림,Smart Hybrid Hammer,목재+플라스틱,Multi-Dimensional AiR,256,"USB, BT(Audio/MIDI)",❌,3페달 (Continuous),40W (20W+20W) 4-spk
PX-S6000,Casio,포터블,Smart Hybrid Hammer,목재+플라스틱,Multi-Dimensional AiR,256,"USB, BT(Audio/MIDI)",❌,스위치 (기본포함),32W (8Wx4) 4-spk
CLP-895GP,Yamaha,그랜드,GrandTouch (Linear),목재 (White only),"CFX, Bösendorfer (VRM)",256,"USB-B, BT(Audio/MIDI)",✅,3페달 (GP Response),(45W+45W+45W) x 2 (Spruce Cone)
CLP-885,Yamaha,콘솔,GrandTouch (Linear),목재 (White only),"CFX, Bösendorfer (VRM)",256,"USB-B, BT(Audio/MIDI)",✅,3페달 (GP Response),(45W+30W+40W) x 2 (Spruce Cone)
CLP-825,Yamaha,콘솔,GrandTouch-S,플라스틱,"CFX, Bösendorfer (VRM)",256,USB-B,✅,3페달 (GrandTouch),20W x 2
CLP-835,Yamaha,콘솔,GrandTouch-S,플라스틱,"CFX, Bösendorfer (VRM)",256,"USB-B, BT(Audio/MIDI)",✅,3페달 (GrandTouch),30W x 2
CLP-865GP,Yamaha,그랜드,GrandTouch-S,목재 (White only),"CFX, Bösendorfer (VRM)",256,"USB-B, BT(Audio/MIDI)",✅,3페달 (GP Response),(45W+45W) x 2
CLP-845,Yamaha,콘솔,GrandTouch-S,목재 (White only),"CFX, Bösendorfer (VRM)",256,"USB-B, BT(Audio/MIDI)",✅,3페달 (GrandTouch),(45W+45W) x 2
CLP-875,Yamaha,콘솔,GrandTouch (Linear),목재 (White only),"CFX, Bösendorfer (VRM)",256,"USB-B, BT(Audio/MIDI)",✅,3페달 (GP Response),(45W+25W+40W) x 2
